"user" "hotel"
"12578" 3276 26
"14705" 3847 3
"2379" 619 12
"6020" 1592 37
"10576" 2768 11
"4222" 1119 33
"5660" 1497 43
"5499" 1451 60
"14191" 3710 37
"11356" 2956 56
"2655" 696 59
"3007" 789 12
"10969" 2858 13
"12002" 3129 37
"6985" 1820 11
"14675" 3836 3
"5602" 1479 6
"2988" 783 17
"965" 253 41
"682" 174 59
"7398" 1931 62
"5605" 1479 60
"6897" 1798 46
"8608" 2269 12
"12631" 3288 14
"2064" 539 56
"14282" 3737 24
"10797" 2812 51
"16565" 4367 49
"4417" 1170 38
"3271" 859 58
"3846" 1018 52
"2930" 774 66
"760" 198 28
"5891" 1552 16
"13408" 3523 7
"13264" 3478 3
"5245" 1391 5
"6938" 1804 30
"11945" 3117 6
"4506" 1192 11
"16423" 4325 17
"17217" 4543 39
"5630" 1489 37
"5391" 1428 37
"15388" 4031 53
"3095" 815 39
"128" 39 3
"12604" 3284 14
"6824" 1779 18
"14112" 3689 6
"1475" 372 17
"7761" 2036 41
"15222" 3990 28
"3417" 899 62
"14077" 3682 53
"7909" 2081 56
"5430" 1438 53
"8006" 2106 63
"16687" 4401 17
"3994" 1054 17
"980" 256 39
"9078" 2393 60
"10351" 2702 60
"2029" 530 17
"7047" 1836 7
"8776" 2316 30
"15196" 3983 47
"11856" 3088 4
"14562" 3807 63
"11066" 2882 64
"9705" 2543 56
"1325" 333 15
"15410" 4038 60
"605" 156 17
"14805" 3874 22
"7767" 2039 60
"6321" 1655 40
"323" 84 60
"2754" 724 17
"12898" 3369 41
"9169" 2415 63
"5721" 1514 17
"13055" 3410 28
"11449" 2983 7
"13998" 3678 3
"2503" 653 56
"1995" 521 15
"12843" 3353 56
"14708" 3847 66
"16306" 4285 14
"12348" 3209 14
"13677" 3593 55
"4792" 1259 52
"2914" 771 46
"12179" 3168 7
"7820" 2056 15
"626" 161 63
"3241" 852 22
"973" 255 59
"10307" 2693 18
"15398" 4034 49
"11099" 2892 39
"14682" 3839 23
"3612" 956 17
"13681" 3595 56
"13440" 3531 60
"11587" 3017 16
"12692" 3304 63
"4127" 1092 15
"2386" 620 38
"5148" 1366 14
"16192" 4249 17
"7968" 2094 35
"5782" 1524 13
"11359" 2957 41
"11934" 3113 40
"10278" 2685 17
"5780" 1524 46
"11161" 2907 20
"5904" 1557 11
"1021" 269 47
"2329" 604 24
"6176" 1624 2
"5103" 1351 63
"7468" 1951 64
"4606" 1217 35
"16810" 4437 15
"7049" 1836 40
"9555" 2504 30
"13999" 3678 42
"12396" 3222 63
"8080" 2127 41
"144" 42 37
"491" 128 47
"5362" 1421 56
"12714" 3311 56
"2693" 707 56
"10902" 2835 10
"1836" 475 1
"9007" 2377 24
"7037" 1834 56
"2864" 757 65
"8813" 2324 17
"8810" 2322 56
"11564" 3009 45
"4597" 1214 56
"3490" 921 63
"5607" 1480 38
"8763" 2313 17
"15457" 4050 59
"3690" 976 13
"6892" 1796 13
"4029" 1067 46
"5980" 1579 37
"4481" 1189 39
"11907" 3103 39
"4662" 1229 41
"3881" 1031 2
"8026" 2110 38
"1123" 298 49
"6272" 1645 60
"7852" 2065 13
"10074" 2648 7
"7333" 1917 18
"7912" 2082 45
"8432" 2219 39
"13926" 3663 6
"7607" 1994 21
"11654" 3035 41
"8169" 2154 14
"7958" 2094 56
"4568" 1208 60
"5908" 1557 39
"14514" 3796 2
"3458" 912 55
"13993" 3677 17
"11632" 3031 13
"16684" 4400 7
"7566" 1981 41
"6587" 1718 2
"13464" 3539 20
"8614" 2269 29
"7241" 1889 50
"6017" 1590 56
"8148" 2147 56
"3370" 888 17
"2573" 674 29
"6748" 1753 61
"5247" 1392 12
"6115" 1615 5
"2335" 606 29
"6647" 1733 45
"8479" 2233 12
"12739" 3319 16
"7413" 1937 13
"211" 56 37
"1826" 472 39
"12555" 3270 50
"11206" 2918 35
"2877" 761 2
"1463" 368 6
"2238" 588 18
"5122" 1358 37
"4927" 1304 4
"2568" 673 18
"12948" 3385 44
"12387" 3220 4
"14860" 3890 17
"8295" 2180 59
"889" 231 6
"6384" 1667 52
"3788" 1005 24
"15949" 4178 4
"7195" 1877 32
"14431" 3776 39
"14855" 3889 35
"3038" 799 24
"12732" 3317 20
"15125" 3961 4
"10101" 2652 7
"8047" 2118 20
"10464" 2730 2
"13177" 3451 55
"13570" 3567 47
"9294" 2445 60
"4238" 1121 24
"4699" 1241 63
"14933" 3908 17
"7284" 1901 56
"6536" 1702 26
"5058" 1339 56
"7484" 1955 18
"13315" 3497 4
"6086" 1611 13
"9008" 2377 57
"11597" 3018 60
"6290" 1650 18
"10150" 2656 27
"4911" 1299 26
"2654" 696 15
"12523" 3262 2
"16472" 4338 4
"11565" 3009 63
"935" 247 28
"2856" 754 29
"9006" 2377 60
"5638" 1492 41
"13626" 3583 41
"14638" 3823 18
"1823" 470 7
"1626" 412 37
"14101" 3688 24
"1071" 282 14
"3101" 817 17
"15166" 3977 18
"912" 239 47
"4988" 1323 47
"12125" 3154 46
"2428" 633 3
"8564" 2260 31
"2426" 633 2
"14538" 3802 56
"6550" 1706 10
"8891" 2349 42
"10829" 2821 60
"5004" 1325 30
"13604" 3578 37
"1666" 425 19
"5948" 1571 2
"15643" 4101 59
"700" 180 64
"17044" 4492 5
"16598" 4380 62
"15877" 4158 46
"1274" 321 12
"4769" 1258 54
"13066" 3414 27
"4708" 1245 2
"11381" 2962 58
"15107" 3954 61
"15197" 3983 39
"9647" 2530 56
"1640" 415 17
"9991" 2624 36
"5945" 1570 2
"9182" 2417 26
"1866" 483 56
"6407" 1672 60
"15017" 3931 45
"11209" 2918 60
"10458" 2727 25
"11024" 2870 20
"9318" 2450 17
"12308" 3199 15
"13238" 3472 56
"1015" 269 35
"2149" 563 6
"10133" 2656 24
"492" 128 39
"14217" 3717 10
"2110" 552 59
"3857" 1022 57
"3595" 950 53
"389" 97 65
"9637" 2526 17
"13882" 3652 26
"1455" 365 38
"13997" 3678 47
"12626" 3287 60
"14250" 3726 49
"8083" 2127 55
"9640" 2527 60
"14577" 3811 66
"2464" 642 1
"12814" 3344 56
"9177" 2415 30
"4351" 1152 4
"14336" 3752 17
"9604" 2516 63
"11733" 3055 11
"15413" 4040 16
"5694" 1506 37
"15095" 3951 6
"16107" 4224 53
"1554" 392 1
"1223" 306 46
"2992" 784 39
"10460" 2728 56
"11923" 3110 60
"9982" 2621 2
"9165" 2414 34
"5242" 1389 56
"4389" 1162 10
"15852" 4152 27
"14173" 3704 8
"4899" 1295 13
"185" 51 60
"8964" 2368 38
"7751" 2034 47
"15321" 4018 15
"7190" 1875 4
"10811" 2817 45
"10929" 2844 15
"13269" 3481 39
"14216" 3717 19
"13173" 3450 43
"7152" 1862 45
"8784" 2317 12
"6868" 1789 53
"917" 242 36
"1428" 358 51
"564" 143 47
"3773" 1002 37
"12225" 3180 3
"9790" 2563 56
"14119" 3691 45
"595" 154 25
"12808" 3343 37
"6231" 1636 56
"15999" 4190 39
"7709" 2017 35
"7679" 2010 26
"13938" 3666 46
"15728" 4125 55
"10571" 2765 56
"16447" 4333 36
"12041" 3137 18
"8133" 2142 37
"8871" 2342 11
"482" 125 28
"8825" 2328 38
"9944" 2608 56
"11475" 2987 13
"3693" 977 39
"3037" 799 18
"3558" 939 55
"7817" 2055 37
"9269" 2437 37
"12927" 3378 50
"10497" 2738 10
"10302" 2693 65
"8546" 2254 12
"8032" 2112 40
"14362" 3758 62
"9421" 2470 66
"9122" 2404 26
"2259" 591 6
"5606" 1480 17
"720" 186 26
"7545" 1973 60
"8673" 2289 6
"3516" 927 49
"2688" 706 45
"13451" 3535 51
"7425" 1940 45
"11008" 2866 32
"12223" 3180 60
"10404" 2715 8
"14664" 3833 39
"9083" 2393 56
"12093" 3148 66
"13244" 3473 60
"17097" 4508 18
"7757" 2035 60
"5583" 1474 51
"10217" 2666 51
"6158" 1620 53
"3754" 996 31
"9559" 2504 47
"7883" 2074 2
"7478" 1953 22
"7053" 1836 60
"16757" 4423 50
"6446" 1684 56
"123" 36 45
"9576" 2506 49
"15146" 3969 60
"1549" 391 55
"460" 119 6
"1180" 303 38
"8444" 2224 64
"12241" 3184 40
"4521" 1196 46
"6238" 1639 37
"1553" 392 5
"10277" 2685 41
"3574" 942 15
"7229" 1886 60
"790" 207 63
"2715" 714 62
"14128" 3691 35
"10100" 2652 56
"15284" 4007 7
"14840" 3885 48
"2776" 731 39
"5060" 1339 49
"12611" 3286 8
"5895" 1553 29
"10751" 2806 35
"6660" 1736 63
"4602" 1216 55
"216" 57 63
"15129" 3962 47
"5443" 1440 50
"1434" 360 56
"14364" 3758 56
"5719" 1513 42
"3175" 836 45
"5729" 1517 56
"10942" 2849 57
"9983" 2622 2
"16837" 4447 26
"12844" 3353 41
"9301" 2447 13
"15954" 4179 12
"14803" 3874 25
"6936" 1804 62
"16532" 4356 24
"5723" 1515 4
"14445" 3780 45
"15581" 4082 38
"3582" 946 37
"11498" 2993 45
"6307" 1652 59
"15485" 4056 39
"10690" 2793 35
"11570" 3010 51
"14883" 3897 6
"14305" 3742 37
"10187" 2657 46
"7548" 1975 6
"15625" 4095 24
"729" 189 59
"6230" 1636 51
"9791" 2564 23
"3545" 935 60
"133" 41 64
"15988" 4187 59
"5866" 1545 47
"13587" 3573 37
"818" 210 34
"12576" 3275 39
"16012" 4192 47
"5642" 1492 37
"13815" 3635 4
"621" 160 10
"12616" 3286 47
"910" 239 15
"16231" 4260 32
"2155" 565 47
"10700" 2794 6
"10684" 2792 20
"6787" 1766 26
"6612" 1725 37
"2937" 777 63
"9872" 2587 32
"1568" 395 56
"10134" 2656 34
"7762" 2037 56
"796" 208 55
"3905" 1035 41
"6324" 1656 39
"10769" 2807 43
"12951" 3385 51
"5580" 1474 37
"12982" 3394 3
"11971" 3123 53
"12609" 3285 63
"12613" 3286 60
"9693" 2541 3
"8768" 2313 39
"7855" 2066 23
"13809" 3635 41
"1953" 508 39
"9873" 2588 57
"2741" 720 36
"12301" 3198 60
"12471" 3245 13
"1749" 449 34
"16352" 4301 32
"15752" 4131 45
"6618" 1727 39
"16392" 4314 42
"13245" 3473 15
"17208" 4540 13
"16985" 4480 56
"5623" 1486 56
"6116" 1615 4
"11303" 2940 58
"10138" 2656 52
"3581" 946 4
"4341" 1150 45
"9519" 2495 16
"13685" 3595 14
"15349" 4025 15
"6986" 1821 47
"251" 66 2
"2024" 529 59
"12762" 3327 56
"12515" 3258 35
"9777" 2559 61
"5634" 1491 56
"13915" 3661 64
"11709" 3049 49
"7238" 1888 53
"1701" 436 55
"1911" 496 17
"15512" 4066 10
"16560" 4366 62
"5118" 1356 3
"6030" 1594 2
"447" 115 41
"589" 152 37
"10570" 2765 17
"14051" 3678 22
"4146" 1096 64
"13431" 3529 56
"13763" 3618 39
"15508" 4065 60
"6929" 1804 27
"12694" 3305 4
"1784" 461 61
"3254" 855 17
"7975" 2097 14
"10876" 2829 35
"9585" 2509 45
"8993" 2374 52
"1975" 514 56
"16759" 4423 2
"9261" 2434 48
"1528" 383 3
"11539" 3005 10
"9857" 2582 57
"347" 85 52
"1806" 468 44
"2868" 759 6
"9168" 2415 50
"4123" 1091 62
"11155" 2905 39
"5565" 1469 35
"14929" 3906 42
"11104" 2893 62
"11382" 2963 62
"9818" 2573 56
"15739" 4126 59
"1673" 428 38
"13636" 3586 28
"13690" 3597 4
"14439" 3778 10
"13755" 3617 15
"8197" 2159 17
"14028" 3678 29
"3215" 846 24
"10168" 2656 3
"10752" 2806 60
"3725" 985 8
"13403" 3523 34
"3802" 1007 1
"5280" 1401 64
"5576" 1473 57
"1442" 362 24
"1686" 431 13
"1896" 492 50
"16623" 4389 66
"8700" 2297 12
"14246" 3724 32
"5044" 1335 39
"13098" 3426 56
"112" 34 37
"15657" 4105 16
"8220" 2164 6
"14808" 3875 64
"5793" 1528 2
"3589" 947 18
"884" 229 37
"1203" 303 6
"14478" 3786 38
"10657" 2784 37
"5326" 1413 28
"12653" 3294 12
"14231" 3721 54
"12202" 3173 45
"4854" 1281 14
"16782" 4431 4
"8663" 2286 26
"10082" 2649 55
"6656" 1735 46
"10703" 2795 17
"14009" 3678 1
"9311" 2449 29
"2483" 649 45
"9420" 2470 4
"5629" 1489 56
"2344" 609 37
"4079" 1080 66
"7589" 1989 34
"1054" 276 6
"9538" 2501 10
"13814" 3635 40
"1395" 352 56
"10428" 2719 56
"12851" 3355 17
"8407" 2213 60
"16162" 4241 4
"92" 27 46
"6358" 1663 46
"5387" 1428 39
"14304" 3742 31
"5888" 1552 50
"7329" 1915 28
"1541" 388 59
"16031" 4201 13
"15337" 4021 56
"7978" 2098 39
"8043" 2117 2
"2258" 591 37
"8384" 2205 54
"5378" 1427 14
"14001" 3678 53
"2892" 765 22
"15260" 4003 46
"2964" 781 56
"108" 32 39
"9720" 2546 6
"7717" 2019 28
"4704" 1244 41
"6150" 1620 55
"13337" 3507 46
"1865" 483 18
"16951" 4472 46
"16026" 4199 6
"6048" 1598 6
"13410" 3524 41
"10106" 2652 43
"7915" 2083 41
"10638" 2780 29
"15252" 4000 15
"15162" 3975 39
"10694" 2793 39
"4772" 1258 43
"4871" 1286 61
"1868" 483 37
"7993" 2101 46
"8024" 2110 37
"14120" 3691 57
"2657" 697 52
"15924" 4174 14
"5107" 1353 4
"874" 226 37
"14420" 3771 13
"11457" 2984 41
"6764" 1759 63
"10937" 2848 37
"1401" 353 7
"2016" 527 39
"16564" 4367 26
"8124" 2139 3
"5974" 1578 57
"16350" 4300 10
"6577" 1714 24
"9807" 2569 56
"4138" 1094 61
"13646" 3588 10
"5108" 1353 41
"13063" 3413 2
"16889" 4458 60
"15239" 3995 57
"4067" 1075 17
"10498" 2739 18
"7261" 1893 18
"209" 55 61
"1324" 332 60
"15815" 4143 48
"4206" 1116 17
"12744" 3321 7
"15332" 4020 26
"15119" 3959 17
"11852" 3086 23
"13558" 3563 59
"12273" 3192 11
"14451" 3781 31
"7202" 1880 62
"10303" 2693 40
"7869" 2070 56
"5742" 1523 28
"7438" 1943 11
"13979" 3672 12
"6380" 1665 2
"10022" 2632 56
"13469" 3540 3
"5463" 1445 56
"1904" 493 32
"8808" 2322 62
"11596" 3018 8
"13183" 3452 39
"7635" 1995 57
"9866" 2586 2
"8609" 2269 48
"8416" 2215 13
"11833" 3081 4
"15597" 4087 17
"8529" 2247 37
"2610" 683 53
"9595" 2513 23
"10294" 2689 34
"10669" 2788 3
"4790" 1259 60
"11134" 2900 66
"8523" 2245 16
"11288" 2937 8
"3100" 817 37
"11035" 2871 62
"1059" 278 45
"14241" 3723 24
"13358" 3513 57
"12818" 3345 7
"2739" 720 31
"4994" 1323 30
"6297" 1651 65
"8439" 2222 13
"6284" 1649 2
"3607" 955 56
"2548" 668 40
"5140" 1364 10
"6900" 1798 63
"7135" 1858 2
"7268" 1895 32
"7454" 1947 57
"15151" 3971 56
"928" 244 3
"8292" 2180 57
"3477" 917 23
"15959" 4182 43
"3464" 914 16
"15606" 4089 12
"4352" 1152 39
"2332" 606 61
"3074" 810 46
"11957" 3119 55
"14593" 3811 28
"11745" 3060 63
"11055" 2878 10
"12140" 3158 60
"10205" 2661 11
"8827" 2329 4
"15376" 4030 27
"15490" 4059 3
"11165" 2908 59
"8770" 2314 19
"16578" 4371 30
"16622" 4388 63
"2886" 763 4
"5786" 1525 66
"5186" 1373 57
"8916" 2355 61
"16501" 4347 48
"295" 76 49
"3932" 1040 41
"15192" 3981 55
"9690" 2541 6
"15847" 4152 36
"12805" 3342 46
"4267" 1129 19
"3620" 960 26
"16148" 4236 11
"13297" 3491 45
"6838" 1782 52
"8631" 2275 59
"12848" 3354 35
"6054" 1600 37
"2439" 635 33
"2887" 763 50
"4032" 1068 4
"7182" 1873 32
"815" 210 3
"55" 17 24
"4063" 1075 56
"3389" 889 66
"3682" 973 37
"5134" 1362 12
"13178" 3451 49
"7138" 1859 55
"5940" 1569 17
"14333" 3751 15
"12712" 3311 38
"16188" 4248 7
"9801" 2567 56
"3060" 806 17
"5296" 1406 37
"10293" 2689 37
"13994" 3677 26
"13963" 3671 60
"11482" 2989 45
"17003" 4482 61
"13749" 3614 15
"2649" 695 20
"12921" 3376 15
"10670" 2788 63
"6983" 1819 56
"5666" 1497 45
"12754" 3323 60
"8732" 2306 13
"14610" 3815 14
"6863" 1787 13
"9824" 2575 8
"7310" 1909 56
"16503" 4347 58
"2092" 546 12
"10995" 2865 56
"14983" 3921 10
"10027" 2633 17
"2124" 555 60
"4332" 1148 60
"7651" 2003 45
"6912" 1800 24
"8283" 2176 4
"3955" 1043 60
"3978" 1051 29
"16059" 4211 61
"13300" 3492 56
"7629" 1994 55
"559" 142 20
"10817" 2818 3
"6242" 1640 56
"17065" 4499 38
"6498" 1697 17
"15466" 4052 35
"7171" 1869 39
"12749" 3322 39
"2604" 681 52
"16207" 4255 4
"3543" 935 17
"10820" 2819 38
"10336" 2700 39
"8456" 2229 58
"16649" 4395 46
"15665" 4108 43
"554" 142 35
"2909" 770 60
"15684" 4112 50
"16795" 4433 39
"10663" 2787 4
"7867" 2069 27
"8488" 2235 37
"9771" 2559 66
"5451" 1442 37
"3965" 1045 46
"9632" 2525 28
"13496" 3546 56
"12247" 3185 45
"16569" 4369 62
"6409" 1672 17
"13029" 3407 49
"3882" 1031 20
"9860" 2583 60
"5092" 1349 28
"14769" 3862 24
"10730" 2803 45
"8662" 2286 2
"8241" 2170 51
"4488" 1189 60
"4230" 1121 28
"10649" 2781 11
"3534" 935 37
"10388" 2711 23
"3529" 933 56
"15163" 3976 38
"6213" 1633 62
"8591" 2265 56
"2561" 672 26
"14767" 3862 3
"1810" 469 60
"14375" 3762 37
"15928" 4175 2
"16438" 4329 46
"16454" 4335 11
"6193" 1628 10
"3040" 799 39
"8106" 2135 2
"7850" 2064 26
"4958" 1315 56
"4203" 1115 66
"6383" 1667 37
"9957" 2613 8
"344" 85 63
"2264" 593 61
"557" 142 52
"15293" 4009 16
"16575" 4370 41
"3936" 1041 20
"5658" 1497 55
"1026" 270 17
"939" 248 12
"10582" 2768 10
"11663" 3037 53
"12030" 3134 36
"8747" 2309 13
"8298" 2181 44
"3856" 1021 59
"1466" 368 20
"1282" 324 50
"13589" 3574 49
"3767" 1000 46
"15204" 3986 51
"7227" 1886 57
"11216" 2921 39
"8504" 2241 48
"443" 115 4
"13073" 3416 60
"6387" 1667 64
"2249" 589 26
"8472" 2231 17
"7493" 1958 57
"10510" 2743 45
"7986" 2099 23
"15953" 4179 35
"1464" 368 57
"2108" 551 63
"16399" 4316 17
"13543" 3560 59
"11235" 2922 24
"9573" 2506 13
"7907" 2081 33
"9126" 2405 49
"10936" 2848 56
"5089" 1349 66
"11184" 2913 12
"5030" 1333 34
"13051" 3410 64
"13954" 3669 60
"1216" 305 51
"5187" 1373 19
"2042" 532 7
"2002" 523 26
"3826" 1013 13
"11215" 2920 51
"2182" 574 39
"4362" 1155 52
"716" 186 47
"15274" 4005 31
"15516" 4068 60
"11258" 2927 16
"4178" 1108 41
"13706" 3601 52
"11736" 3056 3
"3732" 988 31
"12643" 3291 56
"4387" 1161 6
"11210" 2918 54
"11929" 3112 61
"8303" 2183 41
"57" 17 61
"518" 131 2
"1845" 477 9
"12403" 3224 20
"13432" 3529 17
"5864" 1545 42
"12324" 3204 15
"2485" 650 43
"11782" 3072 57
"983" 257 63
"13598" 3577 7
"3988" 1052 54
"2899" 766 39
"14651" 3828 66
"10261" 2682 58
"16717" 4412 49
"3810" 1007 63
"2716" 715 55
"9773" 2559 60
"11137" 2901 25
"1253" 315 60
"8531" 2248 28
"6040" 1595 3
"3705" 980 26
"532" 136 28
"11283" 2935 10
"15378" 4030 62
"433" 111 17
"4865" 1284 2
"9048" 2386 18
"14256" 3729 2
"10764" 2807 38
"12889" 3368 17
"731" 189 33
"15093" 3950 4
"8375" 2202 14
"2996" 785 59
"13772" 3622 60
"15246" 3998 39
"14314" 3743 14
"5714" 1513 13
"1040" 273 31
"7471" 1951 6
"13388" 3521 60
"12346" 3209 49
"7032" 1834 13
"3643" 962 66
"3432" 903 42
"10513" 2744 56
"10848" 2825 66
"5240" 1389 55
"15235" 3994 39
"13268" 3480 49
"3864" 1025 60
"9231" 2427 5
"9305" 2448 49
"12956" 3385 3
"2236" 587 49
"7157" 1864 4
"1954" 509 55
"10565" 2763 65
"4122" 1091 15
"6620" 1728 38
"5325" 1413 41
"4921" 1302 38
"3596" 950 10
"6029" 1594 17
"15327" 4019 60
"10521" 2746 60
"6953" 1809 30
"2420" 631 16
"6790" 1767 60
"1606" 407 43
"1703" 436 18
"4281" 1134 45
"521" 131 24
"8487" 2235 39
"16376" 4307 4
"5985" 1581 52
"1336" 336 15
"5038" 1334 46
"1047" 274 49
"13455" 3537 13
"9615" 2519 55
"2099" 549 17
"6042" 1595 58
"2097" 548 6
"14047" 3678 41
"10568" 2764 63
"8856" 2338 57
"419" 108 59
"3257" 856 12
"14480" 3786 51
"14731" 3852 20
"322" 84 48
"13572" 3568 48
"8199" 2159 60
"5507" 1454 66
"10475" 2734 55
"10597" 2772 39
"609" 157 62
"6334" 1659 26
"11607" 3022 45
"8907" 2353 17
"12572" 3275 6
"5056" 1338 63
"15695" 4114 39
"11572" 3011 6
"6662" 1737 30
"13642" 3587 39
"8833" 2331 42
"2023" 529 17
"10578" 2768 39
"15743" 4127 5
"5871" 1546 15
"15205" 3986 13
"1882" 489 14
"13064" 3413 59
"10662" 2786 37
"7874" 2071 65
"16857" 4453 31
"2948" 778 6
"4613" 1219 24
"12036" 3136 52
"2842" 750 43
"10347" 2701 31
"6319" 1654 34
"11466" 2986 21
"9814" 2571 27
"11133" 2899 37
"15048" 3940 66
"2026" 530 14
"2499" 652 7
"14486" 3789 52
"6665" 1739 65
"1280" 323 53
"6049" 1598 18
"7013" 1827 39
"2607" 681 66
"1162" 303 52
"15737" 4126 56
"4141" 1095 56
"158" 45 37
"14271" 3733 39
"4683" 1236 49
"13324" 3501 56
"3727" 986 24
"2740" 720 13
"11704" 3048 36
"14376" 3762 5
"7997" 2103 53
"674" 173 22
"615" 159 45
"1441" 362 42
"3657" 965 8
"15675" 4110 2
"1927" 501 41
"14605" 3814 42
"14415" 3771 49
"645" 166 17
"2890" 764 48
"3043" 800 63
"13101" 3427 62
"9280" 2441 35
"4798" 1261 39
"12382" 3219 3
"1164" 303 4
"1604" 407 8
"4812" 1264 53
"12161" 3163 17
"1479" 373 38
"16032" 4201 37
"10297" 2690 26
"10542" 2754 38
"12013" 3132 37
"5954" 1573 16
"15066" 3945 6
"12326" 3204 4
"9496" 2489 38
"12319" 3202 49
"1842" 477 11
"16678" 4400 18
"13946" 3667 10
"13141" 3437 6
"4894" 1293 37
"12722" 3314 65
"424" 108 15
"2732" 718 37
"2615" 684 59
"4479" 1189 36
"4654" 1227 17
"7401" 1932 56
"17221" 4544 18
"3878" 1030 34
"4962" 1316 57
"3694" 977 59
"11892" 3099 18
"2810" 740 66
"12831" 3349 37
"16104" 4223 6
"11469" 2987 45
"13917" 3661 38
"14117" 3690 62
"14893" 3900 60
"9687" 2540 66
"3801" 1007 65
"14450" 3781 2
"14981" 3920 14
"4658" 1228 39
"7531" 1969 32
"2166" 568 4
"11245" 2924 64
"10620" 2776 26
"3842" 1018 38
"1648" 417 6
"2904" 767 38
"13896" 3654 6
"635" 164 14
"12659" 3297 37
"13302" 3493 35
"859" 221 16
"14815" 3878 13
"8971" 2369 39
"10023" 2632 38
"7868" 2069 56
"1589" 403 17
"8149" 2147 7
"2356" 612 58
"11088" 2889 41
"15389" 4031 3
"6021" 1592 60
"940" 248 63
"8755" 2312 26
"3735" 989 56
"13924" 3663 8
"13001" 3399 32
"13462" 3538 35
"10044" 2638 13
"3186" 839 10
"13513" 3551 17
"639" 164 13
"5508" 1454 14
"11508" 2997 17
"15683" 4112 41
"14283" 3737 52
"6716" 1751 55
"7351" 1921 58
"14208" 3716 37
"2531" 661 12
"14939" 3909 37
"12029" 3134 4
"15825" 4146 60
"5232" 1386 25
"14586" 3811 46
"5589" 1477 44
"255" 67 37
"4235" 1121 48
"7790" 2047 17
"8932" 2359 28
"11039" 2873 6
"2793" 737 33
"11585" 3016 60
"10761" 2807 37
"1529" 383 60
"16305" 4285 2
"9763" 2558 13
"10025" 2633 64
"7702" 2016 52
"13492" 3545 10
"5773" 1524 3
"10204" 2661 39
"12528" 3263 46
"6825" 1780 61
"7910" 2081 3
"12772" 3330 56
"7472" 1951 28
"3421" 900 33
"11531" 3003 43
"1157" 303 27
"10803" 2814 56
"5567" 1470 39
"16264" 4273 13
"10522" 2747 13
"1752" 450 49
"5887" 1552 61
"15886" 4163 17
"15962" 4182 56
"703" 181 41
"10312" 2693 50
"734" 190 4
"7092" 1845 13
"12231" 3182 46
"11730" 3054 26
"1284" 325 46
"5024" 1331 12
"6448" 1685 17
"13385" 3520 17
"5161" 1367 39
"15872" 4157 39
"13853" 3643 56
"14570" 3809 7
"14069" 3681 52
"1189" 303 43
"15450" 4047 3
"1326" 333 17
"3394" 892 26
"1394" 351 2
"7966" 2094 34
"7141" 1859 45
"15481" 4055 60
"1202" 303 35
"15934" 4175 65
"7977" 2098 6
"8902" 2351 12
"10238" 2673 43
"7153" 1863 51
"16191" 4249 55
"10224" 2669 10
"1821" 470 12
"982" 257 60
"3055" 804 57
"8170" 2154 62
"7441" 1944 56
"7809" 2053 60
"11906" 3103 53
"12441" 3235 39
"6793" 1768 16
"7622" 1994 57
"4669" 1231 7
"7834" 2061 7
"16573" 4370 51
"6055" 1601 39
"13948" 3667 65
"8975" 2370 38
"13019" 3403 17
"3998" 1055 31
"8522" 2245 46
"14075" 3682 2
"10564" 2762 59
"13393" 3522 49
"11766" 3066 37
"13255" 3476 49
"13239" 3473 66
"3240" 852 37
"7127" 1856 57
"13911" 3660 56
"6930" 1804 61
"9932" 2603 26
"4605" 1217 37
"288" 75 46
"16544" 4360 56
"4661" 1228 14
"12654" 3294 4
"15153" 3971 11
"7368" 1921 46
"2120" 553 37
"4204" 1115 45
"16247" 4266 62
"4117" 1089 39
"7731" 2025 35
"4980" 1323 26
"3314" 872 38
"13218" 3465 57
"9389" 2467 18
"11026" 2871 7
"9610" 2517 4
"17179" 4533 12
"12258" 3187 59
"4866" 1285 51
"12928" 3378 56
"11011" 2867 37
"7542" 1972 41
"9440" 2478 49
"9134" 2407 41
"7630" 1994 45
"8628" 2274 4
"5298" 1406 38
"12534" 3265 56
"7514" 1964 45
"3102" 817 60
"2229" 587 41
"16445" 4332 23
"14635" 3823 39
"1234" 310 56
"16116" 4227 56
"14261" 3730 26
"12384" 3220 41
"901" 235 19
"12005" 3130 15
"8766" 2313 56
"13793" 3630 56
"8761" 2313 2
"15473" 4053 6
"6005" 1587 19
"10370" 2709 6
"4517" 1195 17
"11205" 2918 56
"9264" 2435 17
"13230" 3469 60
"6401" 1669 38
"1921" 499 33
"6671" 1739 36
"15869" 4156 58
"10545" 2755 56
"1974" 514 37
"5965" 1578 63
"16820" 4442 46
"9743" 2553 32
"675" 174 8
"9912" 2598 2
"14536" 3801 60
"6458" 1687 26
"11500" 2994 28
"9171" 2415 46
"17126" 4516 33
"10592" 2771 49
"7018" 1829 55
"3265" 858 6
"12398" 3223 4
"401" 100 45
"11058" 2880 66
"5136" 1363 27
"4441" 1179 38
"8607" 2269 17
"5512" 1454 41
"14846" 3886 37
"10899" 2835 4
"6219" 1634 10
"1830" 473 60
"5413" 1434 56
"14352" 3754 39
"8584" 2263 18
"6702" 1747 1
"16527" 4354 10
"9385" 2465 39
"1318" 331 52
"3309" 871 62
"14887" 3898 31
"2418" 630 29
"6308" 1652 45
"17206" 4539 37
"13497" 3546 24
"12980" 3394 8
"17149" 4522 37
"3120" 823 16
"5668" 1497 41
"1997" 522 60
